crop,region,soil_type,season,year,avg_temperature,avg_rainfall,humidity,sunlight_hours,soil_ph,nitrogen_content,phosphorus_content,potassium_content,organic_matter,farm_area_ha,irrigation_type,fertilizer_kg_ha,pesticide_l_ha,yield_per_ha,total_yield_tons
Maize,Central,Peat,Rabi,2020,37.8,220.75,57.72,7.6,6.91,197.27,62.04,180.53,4.61,5.75,Drip,102.97,1.65,3.82,21.97
Maize,West,Peat,Rabi,2023,24.45,62.61,60.36,5.47,8.43,143.71,55.69,53.27,2.33,2.35,Sprinkler,145.51,4.98,1.05,2.46
Potato,East,Clay,Zaid,2021,39.59,206.14,84.34,9.9,5.74,388.39,76.32,227.93,2.83,1.94,Rainfed,239.09,8.78,13.56,26.35
Sugarcane,West,Clay,Kharif,2015,34.32,119.17,49.65,6.86,7.67,105.07,54.89,241.67,2.01,0.9,Rainfed,254.78,1.42,24.68,22.12
Potato,North,Sandy,Kharif,2023,32.06,218.33,66.52,7.81,8.04,268.92,50.51,158.49,2.18,3.77,Flood,141.21,3.44,19.19,72.45
Sugarcane,North,Loamy,Kharif,2019,29.61,60.98,52.82,6.83,7.27,373.3,65.15,260.56,4.37,13.16,Rainfed,108.77,4.58,18.41,242.33
Maize,South,Peat,Rabi,2023,37.34,71.38,70.82,7.06,6.43,205.92,66.26,200.26,4.88,9.44,Flood,171.45,2.42,1.95,18.37
Wheat,North,Sandy,Rabi,2018,15.43,149.7,63.21,5.84,7.17,176.15,75.8,207.22,1.81,1.72,Drip,229.18,7.08,2.99,5.12
Wheat,Central,Silt,Zaid,2021,36.66,64.64,86.87,7.83,5.56,204.51,19.12,140.85,3.24,0.61,Rainfed,267.55,6.1,0.57,0.35
Rice,North,Clay,Rabi,2023,37.83,57.28,63.28,5.98,5.51,107.97,35.04,81.06,0.6,10.3,Sprinkler,118.53,5.03,0.5,5.15
Rice,North,Sandy,Zaid,2020,23.31,77.32,54.44,6.56,5.51,389.3,46.19,193.13,3.5,8.49,Drip,201.98,7.62,2.12,18.0
Wheat,North,Silt,Zaid,2015,25.3,66.41,81.16,10.92,5.91,262.8,57.85,70.9,4.68,4.17,Flood,211.36,1.78,1.06,4.4
Rice,East,Peat,Kharif,2020,22.15,87.81,81.68,8.27,6.23,113.39,53.54,155.04,4.93,8.07,Drip,252.09,0.12,1.8,14.51
Tomato,West,Sandy,Zaid,2023,20.43,41.64,69.29,7.58,7.21,140.03,41.98,59.24,0.68,5.86,Sprinkler,287.92,7.77,3.69,21.65
Tomato,West,Sandy,Kharif,2020,33.87,142.13,70.27,11.58,6.19,236.47,70.53,187.94,1.61,1.67,Sprinkler,238.22,0.13,27.74,46.38
Cotton,East,Clay,Rabi,2022,22.38,21.86,71.55,8.84,7.24,242.3,69.67,214.83,4.02,1.11,Rainfed,62.47,0.29,0.5,0.56
Cotton,West,Sandy,Kharif,2022,24.4,159.53,49.59,6.94,8.17,380.71,74.52,254.58,3.6,12.75,Sprinkler,228.55,9.54,1.55,19.8
Potato,West,Sandy,Zaid,2017,41.74,274.65,67.79,4.89,6.14,355.65,45.43,295.7,1.03,3.16,Flood,132.97,5.16,14.19,44.84
Wheat,Central,Clay,Zaid,2022,21.74,65.74,62.52,10.79,5.54,135.59,57.96,290.97,3.39,2.01,Rainfed,179.97,9.75,1.01,2.04
Potato,North,Sandy,Zaid,2024,31.36,66.76,59.17,11.74,7.66,306.15,26.24,189.87,2.11,1.87,Drip,273.89,3.83,9.63,18.05
Cotton,North,Silt,Zaid,2023,31.26,273.18,81.6,9.64,6.44,248.67,76.11,55.8,4.07,1.95,Flood,96.25,2.32,0.98,1.91
Rice,South,Sandy,Kharif,2022,35.05,502.58,83.49,8.17,7.65,266.98,66.81,261.19,1.55,3.58,Sprinkler,208.71,9.78,1.64,5.87
Rice,South,Loamy,Rabi,2017,32.31,67.39,58.96,10.25,5.9,191.75,52.6,155.02,4.73,16.41,Sprinkler,175.65,5.39,1.35,22.2
Sugarcane,West,Clay,Rabi,2023,26.52,81.11,49.5,9.98,7.71,173.49,68.3,203.41,1.56,5.78,Drip,108.4,2.65,38.05,219.88
Tomato,North,Sandy,Kharif,2016,24.1,283.18,51.94,4.94,5.67,172.63,36.97,281.89,1.59,2.77,Drip,233.54,3.02,28.05,77.82
Maize,North,Silt,Kharif,2018,26.59,76.58,49.82,9.87,5.58,187.7,34.93,164.55,3.56,3.58,Rainfed,198.58,5.96,1.47,5.26
Soybean,Central,Loamy,Kharif,2022,19.19,87.56,49.22,7.87,6.07,311.16,15.63,288.33,1.38,5.9,Rainfed,279.24,2.48,1.12,6.59
Sugarcane,West,Clay,Kharif,2018,26.11,69.21,88.03,11.77,6.06,349.33,23.54,106.61,0.88,1.35,Rainfed,208.05,4.49,25.19,34.04
Rice,Central,Loamy,Rabi,2019,25.99,25.12,43.15,9.61,8.16,338.65,44.29,117.41,0.56,4.06,Drip,168.91,3.44,0.67,2.73
Maize,Central,Loamy,Kharif,2017,24.64,150.5,75.04,6.11,7.26,144.63,18.51,246.46,3.62,7.8,Rainfed,88.12,9.15,2.94,22.98
Cotton,Central,Clay,Kharif,2021,22.17,31.14,54.34,5.45,6.97,384.92,32.95,203.02,4.51,5.47,Flood,140.55,9.91,0.5,2.74
Cotton,North,Sandy,Rabi,2018,32.08,94.08,79.84,4.01,7.61,179.95,21.88,118.55,4.85,11.63,Flood,103.44,1.17,0.59,6.84
Rice,West,Silt,Zaid,2016,33.18,358.4,77.56,8.79,5.93,122.21,51.72,184.77,4.31,2.45,Sprinkler,59.92,4.24,1.94,4.75
Tomato,West,Peat,Kharif,2017,27.06,178.76,41.69,11.0,6.92,209.43,34.27,198.79,2.89,5.84,Drip,193.41,1.44,27.15,158.67
Wheat,South,Clay,Rabi,2024,28.65,79.49,49.13,4.06,6.44,116.45,43.76,255.45,1.78,9.91,Sprinkler,226.14,1.25,1.63,16.15
Rice,South,Loamy,Zaid,2021,32.63,36.45,72.74,5.14,6.68,269.98,13.53,88.33,1.94,3.6,Sprinkler,264.62,1.87,0.63,2.28
Sugarcane,West,Peat,Rabi,2018,10.02,118.28,52.83,10.18,7.02,125.89,53.89,192.31,2.02,0.56,Rainfed,100.18,4.06,19.87,11.05
Soybean,Central,Sandy,Kharif,2023,23.22,106.15,75.62,10.85,7.44,306.7,52.59,296.37,1.67,2.05,Sprinkler,81.58,4.86,1.49,3.06
Sugarcane,West,Clay,Rabi,2018,23.94,336.05,88.19,9.95,6.67,359.55,71.28,277.55,3.38,1.63,Rainfed,72.77,9.15,34.0,55.32
Wheat,West,Peat,Zaid,2021,10.96,55.08,64.35,4.18,8.22,186.14,12.0,298.4,1.9,10.97,Rainfed,163.37,6.63,0.56,6.15
Rice,West,Silt,Zaid,2015,11.39,321.76,43.05,6.2,8.18,244.01,52.01,212.92,0.82,0.59,Rainfed,284.46,2.72,1.41,0.83
Tomato,South,Silt,Zaid,2017,25.16,134.6,51.82,9.86,6.87,356.98,29.5,100.96,4.24,2.48,Drip,152.97,7.94,31.44,77.82
Sugarcane,North,Silt,Zaid,2017,12.28,164.48,49.02,11.43,5.95,341.48,39.7,96.5,2.31,1.75,Drip,84.0,2.39,62.78,110.01
Maize,South,Sandy,Zaid,2020,22.04,31.2,88.63,4.04,7.47,356.95,75.38,86.0,3.64,1.07,Flood,138.15,7.32,0.93,0.99
Maize,North,Silt,Zaid,2020,19.28,26.87,45.76,11.0,5.53,307.86,63.8,191.97,3.79,5.78,Drip,163.89,3.83,1.07,6.19
Sugarcane,Central,Silt,Kharif,2019,22.22,377.33,72.56,5.58,6.84,248.96,63.06,216.94,2.82,6.2,Rainfed,56.01,7.77,30.1,186.74
Maize,North,Peat,Zaid,2017,18.66,32.16,41.78,11.28,7.31,208.59,65.14,206.52,3.29,3.84,Drip,51.98,2.58,0.96,3.69
Maize,East,Peat,Rabi,2022,27.57,128.59,52.43,7.6,6.56,142.96,77.09,283.35,0.88,9.28,Drip,172.09,7.74,4.78,44.34
Cotton,South,Silt,Zaid,2024,24.35,224.14,73.37,5.48,6.49,140.82,64.18,296.31,2.96,5.83,Flood,236.52,2.24,1.78,10.41
Wheat,South,Sandy,Kharif,2020,32.56,73.16,69.73,10.8,6.26,241.27,62.61,71.85,2.81,1.28,Drip,184.79,7.68,1.17,1.5
Soybean,Central,Silt,Zaid,2024,21.53,41.17,63.27,11.01,5.71,198.27,55.72,139.4,0.82,2.52,Flood,255.24,9.68,0.5,1.26
Cotton,South,Loamy,Zaid,2020,32.34,104.23,45.27,9.44,5.52,104.42,64.38,68.61,1.87,16.36,Drip,296.31,1.61,0.62,10.15
Rice,East,Loamy,Rabi,2023,11.23,278.63,77.7,10.12,6.31,230.3,44.12,124.73,0.93,1.18,Rainfed,95.17,2.04,1.41,1.66
Wheat,West,Clay,Rabi,2017,42.11,49.5,62.79,8.08,6.43,372.19,48.72,246.87,4.66,1.39,Sprinkler,156.97,4.33,0.79,1.1
Potato,West,Silt,Rabi,2018,28.38,36.8,65.77,6.09,6.26,348.86,36.65,162.68,4.29,0.96,Sprinkler,198.65,5.78,6.0,5.76
Wheat,Central,Silt,Rabi,2021,36.53,197.06,87.14,7.72,6.87,250.62,60.62,217.02,1.5,0.83,Drip,287.31,2.61,3.24,2.69
Rice,West,Silt,Zaid,2023,20.74,120.9,45.4,11.76,5.67,231.45,47.58,247.62,1.05,3.41,Rainfed,124.93,3.12,2.35,7.99
Potato,Central,Sandy,Zaid,2024,32.01,20.55,77.45,10.48,8.2,288.06,33.34,156.81,4.86,11.15,Rainfed,165.88,9.43,2.05,22.86
Tomato,South,Sandy,Rabi,2023,27.36,214.95,84.59,4.74,8.4,200.08,40.79,247.98,3.49,11.68,Sprinkler,150.14,3.73,20.78,242.6
Tomato,North,Peat,Rabi,2023,30.16,82.12,76.2,6.41,6.89,165.82,64.1,65.13,3.67,2.88,Drip,60.4,8.53,9.99,28.78
Potato,South,Sandy,Rabi,2015,37.16,126.44,76.54,10.1,7.27,209.69,27.02,275.73,4.86,2.71,Flood,78.08,2.23,15.48,41.99
Wheat,East,Silt,Rabi,2024,30.21,38.99,79.01,11.38,8.39,102.8,77.07,235.05,0.88,3.18,Flood,225.01,9.57,0.5,1.59
Tomato,Central,Clay,Kharif,2016,24.36,364.51,88.57,5.82,6.46,372.41,61.44,293.08,4.52,1.71,Sprinkler,239.93,0.49,23.84,40.79
Cotton,Central,Sandy,Zaid,2020,16.37,112.02,87.81,11.68,5.65,148.16,43.89,269.87,4.17,17.17,Flood,204.52,2.57,0.9,15.39
Cotton,East,Sandy,Zaid,2021,30.56,280.74,56.05,11.01,6.68,192.48,45.62,160.57,4.61,3.66,Rainfed,119.33,8.43,1.07,3.92
Potato,South,Sandy,Rabi,2024,16.22,124.46,52.52,5.91,5.67,123.19,74.05,74.12,2.68,6.49,Flood,262.59,1.71,8.35,54.2
Maize,South,Sandy,Zaid,2023,18.26,56.22,69.36,4.13,6.73,156.05,77.7,195.68,4.41,1.59,Flood,252.5,4.15,1.35,2.15
Potato,South,Sandy,Zaid,2024,18.14,163.23,78.1,11.97,7.84,143.58,32.58,162.93,1.07,8.26,Drip,181.67,9.44,15.6,128.84
Sugarcane,West,Sandy,Rabi,2016,18.76,36.17,82.48,11.93,6.75,343.03,53.93,289.76,1.57,4.44,Flood,152.2,5.42,13.41,59.49
Maize,Central,Loamy,Zaid,2022,25.33,88.86,71.24,4.65,7.73,311.96,71.63,156.46,0.78,3.59,Sprinkler,84.4,6.47,2.7,9.7
Sugarcane,West,Sandy,Zaid,2017,19.32,20.34,88.03,11.97,7.17,171.69,73.78,280.76,4.35,4.43,Rainfed,68.68,0.88,7.03,31.14
Soybean,South,Loamy,Zaid,2024,23.28,228.61,61.72,6.63,7.43,342.1,61.22,203.9,1.54,2.02,Flood,231.02,8.03,1.83,3.69
Rice,South,Peat,Kharif,2023,29.56,69.26,68.16,8.92,7.83,341.72,29.61,185.32,1.06,9.73,Rainfed,261.36,3.0,1.05,10.17
Sugarcane,East,Clay,Zaid,2022,17.09,27.27,68.75,4.73,7.54,303.44,52.98,269.14,2.2,12.13,Flood,59.23,1.13,9.34,113.31
Potato,Central,Loamy,Kharif,2024,21.59,103.8,55.37,11.1,7.1,276.37,76.19,241.04,2.47,3.74,Flood,211.98,2.0,13.28,49.68
Tomato,East,Loamy,Kharif,2015,25.68,57.29,78.92,6.06,5.89,165.71,57.53,203.49,3.6,2.44,Sprinkler,275.21,4.52,10.0,24.44
Cotton,Central,Clay,Zaid,2023,28.53,97.98,55.36,6.52,7.18,281.51,40.77,270.94,2.42,2.1,Drip,52.0,9.71,1.49,3.13
Rice,West,Peat,Rabi,2017,26.28,115.6,81.53,10.48,8.3,215.82,48.84,74.66,4.84,21.54,Drip,247.27,4.54,2.0,43.18
Soybean,Central,Loamy,Zaid,2018,11.03,95.03,42.67,11.94,6.77,378.21,60.7,122.49,1.5,27.72,Flood,243.03,2.5,0.97,26.78
Wheat,North,Loamy,Kharif,2021,20.63,139.37,55.15,5.77,7.7,303.78,43.7,285.66,3.56,11.69,Flood,97.64,2.97,2.3,26.9
Rice,East,Loamy,Rabi,2016,37.09,100.63,40.18,8.01,7.3,179.72,24.23,118.45,3.31,1.29,Flood,230.08,4.23,1.15,1.49
Sugarcane,South,Clay,Kharif,2017,25.91,184.63,65.3,7.03,8.13,210.48,70.13,176.05,1.44,5.24,Flood,121.33,1.47,46.0,241.23
Soybean,West,Silt,Zaid,2023,31.45,202.02,83.09,6.16,7.48,169.11,53.59,271.8,0.68,21.57,Drip,256.77,7.62,2.45,52.95
Soybean,West,Silt,Rabi,2015,17.96,167.09,89.73,10.16,6.55,284.18,33.58,292.52,4.55,4.69,Drip,245.32,9.1,2.37,11.1
Cotton,South,Clay,Rabi,2016,20.17,167.66,58.95,9.67,6.71,133.32,17.5,79.76,0.65,4.31,Drip,217.98,1.27,1.01,4.36
Sugarcane,South,Silt,Rabi,2024,46.0,111.07,47.35,7.23,7.77,105.03,20.29,298.96,3.8,3.62,Drip,207.45,8.46,29.49,106.72
Tomato,Central,Clay,Zaid,2017,24.19,121.63,43.59,11.57,6.8,211.26,73.5,79.57,0.68,6.28,Rainfed,146.25,7.64,11.78,73.94
Wheat,East,Loamy,Kharif,2018,8.65,68.41,51.77,9.92,6.18,237.38,67.32,278.85,3.75,3.3,Flood,193.0,6.9,1.16,3.82
Potato,South,Sandy,Rabi,2023,22.03,157.69,80.73,11.02,8.27,252.75,55.86,52.39,3.08,3.7,Rainfed,290.58,9.02,12.17,45.09
Potato,North,Loamy,Zaid,2023,27.61,25.87,60.1,9.57,5.59,170.74,72.13,82.45,0.73,4.84,Rainfed,286.62,8.35,2.21,10.7
Tomato,Central,Silt,Rabi,2019,21.91,313.03,61.33,6.8,6.84,344.19,74.24,139.42,2.58,11.93,Sprinkler,61.76,7.84,22.82,272.21
Maize,West,Loamy,Zaid,2020,37.52,67.24,62.35,7.35,7.77,378.38,44.4,258.18,3.79,2.51,Flood,196.83,6.67,1.38,3.47
Sugarcane,Central,Silt,Rabi,2020,13.69,48.77,50.47,7.21,6.08,140.56,35.48,201.75,1.16,0.73,Flood,58.66,2.67,11.56,8.4
Maize,Central,Sandy,Rabi,2024,34.37,97.49,62.79,6.6,8.0,251.48,16.41,123.94,4.88,19.36,Drip,113.67,1.67,2.32,44.88
Rice,West,Loamy,Kharif,2017,4.6,95.37,51.61,4.92,7.21,379.78,19.64,226.2,2.47,2.24,Drip,263.28,4.56,1.72,3.85
Wheat,North,Sandy,Rabi,2020,20.79,78.53,44.06,8.76,6.76,126.03,51.71,52.47,1.44,8.1,Sprinkler,59.48,6.47,0.94,7.61
Soybean,North,Sandy,Kharif,2016,22.56,105.68,62.52,8.96,6.71,144.55,16.23,236.11,1.57,9.9,Flood,235.76,0.49,1.19,11.73
Sugarcane,North,Sandy,Kharif,2020,15.33,54.53,69.72,10.48,5.68,174.88,36.33,95.84,2.95,3.75,Flood,129.12,5.17,11.07,41.53
Tomato,North,Peat,Kharif,2021,14.94,97.75,62.21,5.57,5.54,145.28,13.0,157.9,1.51,3.23,Sprinkler,132.36,5.38,10.48,33.82
Rice,East,Loamy,Rabi,2023,18.28,85.26,43.1,4.14,6.14,227.49,13.14,131.93,4.49,0.97,Rainfed,287.13,8.57,1.24,1.21
Potato,Central,Peat,Zaid,2022,22.39,197.32,52.6,5.95,7.53,129.08,35.22,123.86,4.31,4.11,Sprinkler,211.62,1.29,15.21,62.57
Tomato,South,Silt,Rabi,2022,19.11,58.93,75.34,11.64,7.03,252.26,18.21,147.57,4.34,1.23,Flood,279.38,6.67,8.04,9.86
Potato,South,Clay,Kharif,2020,15.63,44.52,54.32,7.08,8.25,210.27,46.67,90.51,3.81,4.61,Sprinkler,159.98,9.47,4.25,19.58
Sugarcane,East,Sandy,Kharif,2023,26.25,127.74,86.09,8.52,7.98,222.84,16.07,298.54,1.25,1.95,Sprinkler,90.78,3.37,51.03,99.42
Maize,Central,Clay,Zaid,2017,32.16,39.39,57.08,5.35,8.22,181.11,41.13,273.69,2.99,14.0,Sprinkler,281.61,4.62,1.15,16.05
Rice,South,Sandy,Zaid,2017,27.66,46.18,89.53,6.23,7.85,193.89,31.91,75.97,3.02,1.9,Drip,87.1,2.27,0.68,1.29
Cotton,Central,Clay,Kharif,2021,5.57,27.85,66.8,10.3,7.22,392.36,16.94,255.29,2.78,4.19,Drip,179.77,3.25,0.5,2.09
Rice,Central,Sandy,Rabi,2019,25.7,119.92,42.24,8.71,7.67,206.9,25.21,103.35,0.87,0.97,Rainfed,91.67,0.19,1.39,1.35
Maize,South,Peat,Rabi,2020,24.66,36.11,65.2,7.2,6.47,346.78,67.97,296.97,1.5,11.46,Drip,184.46,5.91,1.76,20.18
Maize,West,Silt,Zaid,2016,13.09,305.82,76.34,6.78,6.97,284.52,68.0,214.49,2.14,3.21,Rainfed,62.61,9.24,2.21,7.07
Maize,South,Loamy,Rabi,2022,33.19,74.62,80.01,10.43,5.68,223.64,58.37,155.59,2.95,5.01,Flood,87.81,4.12,1.58,7.91
Cotton,East,Peat,Zaid,2019,26.76,36.21,65.61,8.59,5.94,326.69,36.11,280.16,2.24,1.31,Rainfed,239.49,5.68,0.5,0.66
Maize,West,Sandy,Zaid,2015,17.17,61.68,41.47,8.02,8.19,338.6,12.0,270.32,2.54,1.56,Flood,238.1,3.23,1.47,2.29
Maize,Central,Clay,Zaid,2022,21.77,37.59,64.33,4.75,7.86,241.2,41.29,50.46,4.18,3.89,Rainfed,159.97,7.61,0.52,2.01
Soybean,North,Silt,Kharif,2023,33.59,81.73,49.08,6.39,6.4,397.59,32.83,101.3,4.2,3.23,Sprinkler,160.97,5.49,1.26,4.09
Tomato,North,Silt,Kharif,2016,9.87,109.3,41.72,10.55,6.08,187.7,22.14,241.77,3.13,7.54,Rainfed,213.35,1.04,9.93,74.86
Soybean,South,Silt,Zaid,2018,9.49,43.23,83.49,9.98,6.54,329.5,53.93,50.95,2.21,2.22,Sprinkler,104.48,2.52,0.54,1.19
Wheat,East,Sandy,Kharif,2017,25.58,86.61,82.39,5.71,6.02,366.64,44.7,273.79,0.78,12.91,Sprinkler,153.86,1.55,2.21,28.5
Potato,South,Clay,Zaid,2021,17.97,69.85,51.03,7.95,7.85,298.04,40.52,79.74,4.81,2.08,Flood,119.46,6.46,7.83,16.26
Rice,East,Sandy,Zaid,2023,21.4,434.48,88.46,11.31,6.81,150.0,50.91,54.31,1.38,0.51,Sprinkler,95.13,4.75,1.04,0.53
Soybean,South,Loamy,Zaid,2020,33.68,132.39,86.82,7.56,6.32,136.81,57.04,260.44,1.33,11.05,Sprinkler,181.57,1.44,1.87,20.62
Soybean,East,Peat,Rabi,2019,21.57,93.41,41.41,7.19,7.85,266.63,29.74,282.16,1.57,1.96,Rainfed,138.66,8.95,1.01,1.97
Rice,West,Silt,Zaid,2022,20.41,175.28,77.42,5.86,6.48,313.04,26.69,102.05,3.67,11.13,Sprinkler,68.75,4.46,3.64,40.45
Maize,West,Loamy,Kharif,2015,28.97,132.79,89.81,9.46,7.36,396.92,14.25,68.61,3.02,2.72,Flood,74.17,3.06,4.14,11.25
Cotton,East,Peat,Rabi,2024,10.29,130.06,67.47,11.41,5.61,241.01,23.49,184.2,4.34,12.61,Drip,149.56,8.12,1.12,14.15
Maize,West,Peat,Zaid,2022,27.9,20.63,82.76,4.96,5.55,206.14,36.56,69.31,4.16,3.1,Drip,172.48,2.65,0.5,1.55
Maize,Central,Sandy,Rabi,2016,27.26,372.44,61.34,11.92,6.38,102.09,63.73,94.61,0.74,13.39,Sprinkler,247.95,1.03,2.11,28.25
Wheat,East,Sandy,Zaid,2024,26.48,205.79,85.27,8.35,7.61,328.67,58.2,211.71,2.96,3.76,Rainfed,299.03,3.38,2.09,7.87
Tomato,North,Sandy,Rabi,2020,19.15,96.08,44.79,8.95,8.33,316.81,25.02,292.78,1.88,3.37,Sprinkler,174.53,9.91,13.27,44.72
Soybean,South,Sandy,Kharif,2016,30.42,139.31,58.1,4.63,8.31,276.96,62.75,110.1,3.93,9.32,Sprinkler,157.71,5.72,1.92,17.85
Sugarcane,West,Clay,Zaid,2018,23.51,129.24,79.21,4.19,7.27,395.36,76.3,258.11,0.98,26.11,Sprinkler,202.38,2.23,62.54,1633.24
Wheat,North,Loamy,Zaid,2022,34.4,214.16,45.62,11.33,8.26,104.04,73.02,286.7,0.67,2.24,Rainfed,143.28,3.49,1.82,4.08
Tomato,East,Sandy,Zaid,2020,28.23,549.68,55.84,8.07,7.17,273.82,36.19,91.5,0.75,1.06,Flood,275.32,2.8,9.17,9.74
Maize,South,Peat,Rabi,2015,24.0,117.69,43.77,4.56,7.36,277.42,12.9,165.12,2.46,4.46,Drip,234.46,2.83,4.14,18.44
Soybean,North,Loamy,Rabi,2018,24.55,93.58,66.46,10.95,8.02,193.46,21.4,144.74,1.8,15.56,Rainfed,116.48,1.81,0.84,13.14
Rice,Central,Peat,Rabi,2016,32.88,29.04,53.01,7.51,7.29,198.3,44.74,99.71,3.08,3.12,Rainfed,262.31,4.16,0.5,1.56
Rice,East,Sandy,Kharif,2024,17.17,37.05,79.51,6.19,7.55,129.23,67.53,297.06,2.18,4.02,Drip,160.68,8.94,0.75,3.03
Wheat,South,Peat,Kharif,2024,26.92,125.98,72.62,7.06,6.16,171.9,66.03,66.53,3.04,2.33,Flood,116.31,5.06,1.86,4.34
Wheat,North,Loamy,Kharif,2022,35.18,111.8,74.89,7.46,8.28,250.58,48.62,181.24,1.92,1.81,Flood,68.46,7.18,1.54,2.79
Soybean,North,Peat,Kharif,2015,29.16,69.3,86.0,8.53,5.79,339.88,27.93,188.18,2.79,1.86,Rainfed,78.94,2.11,0.69,1.29
Tomato,North,Sandy,Zaid,2024,33.22,99.67,73.33,5.25,6.32,253.13,71.68,60.72,2.78,0.76,Rainfed,164.21,6.29,10.84,8.26
Rice,Central,Clay,Kharif,2021,22.79,34.91,48.33,7.76,8.49,206.81,39.93,158.11,0.86,7.94,Drip,113.28,7.04,0.69,5.45
Maize,South,Clay,Kharif,2017,20.51,240.7,52.19,9.36,7.89,262.01,33.61,294.48,1.75,15.35,Drip,89.06,3.89,4.23,64.98
Tomato,West,Silt,Zaid,2017,26.13,20.22,53.01,4.7,8.46,328.5,10.26,105.91,3.52,3.04,Drip,257.96,5.05,3.55,10.8
Rice,Central,Clay,Kharif,2016,38.64,46.15,58.66,4.41,7.26,237.78,63.25,101.6,2.47,1.5,Rainfed,203.49,8.48,0.57,0.86
Potato,North,Sandy,Kharif,2015,34.58,308.59,88.59,10.18,6.36,165.78,41.33,298.47,2.36,1.61,Drip,286.09,3.86,19.79,31.86
Wheat,West,Sandy,Zaid,2020,29.06,192.19,81.81,9.34,6.71,300.19,68.57,137.66,1.83,2.61,Rainfed,187.82,0.52,2.73,7.11
Soybean,South,Peat,Zaid,2018,28.41,34.95,46.64,5.58,7.23,185.67,35.77,282.91,4.31,10.06,Drip,194.41,8.66,0.65,6.58
Cotton,Central,Sandy,Rabi,2021,26.34,75.53,65.64,10.64,8.29,318.91,63.19,130.09,2.6,11.32,Flood,246.48,6.84,0.7,7.93
Soybean,Central,Clay,Zaid,2017,30.46,24.03,46.52,8.65,7.11,382.81,58.63,123.49,1.23,9.97,Rainfed,164.91,6.53,0.5,4.99
Cotton,Central,Clay,Kharif,2019,13.08,132.02,71.61,11.75,8.07,248.97,45.0,218.53,1.01,46.1,Sprinkler,179.7,9.1,1.42,65.31
Rice,North,Loamy,Kharif,2023,14.41,107.14,45.17,8.59,7.29,336.76,13.38,166.58,4.65,24.22,Rainfed,97.85,8.71,1.48,35.91
Maize,East,Clay,Zaid,2020,21.04,340.96,74.77,7.19,6.34,170.57,57.66,273.95,3.9,9.5,Sprinkler,245.35,9.79,4.24,40.31
Maize,Central,Loamy,Rabi,2017,31.06,43.6,79.58,6.58,8.49,213.0,30.5,109.8,3.46,1.08,Drip,288.39,2.94,0.9,0.97
Soybean,East,Loamy,Zaid,2021,10.23,51.89,42.04,6.4,7.83,231.64,30.35,126.2,2.99,2.3,Drip,207.7,9.89,0.5,1.15
Wheat,South,Peat,Zaid,2020,15.82,38.48,48.96,7.58,5.62,243.26,75.02,52.89,2.14,7.65,Sprinkler,88.62,0.78,0.57,4.34
Tomato,North,Clay,Kharif,2022,25.34,154.76,52.1,4.83,6.03,356.41,59.4,99.52,3.72,6.67,Drip,299.43,3.92,37.79,251.91
Maize,East,Sandy,Rabi,2020,18.98,79.14,84.89,4.73,6.03,354.99,67.35,126.36,3.19,2.91,Flood,52.58,0.26,2.11,6.13
Sugarcane,West,Loamy,Kharif,2018,12.39,35.54,87.06,4.97,7.52,368.25,21.47,103.68,3.08,4.05,Drip,180.26,5.55,14.97,60.63
Cotton,North,Sandy,Kharif,2017,30.37,25.53,78.02,5.86,6.62,126.79,41.19,251.05,0.94,2.11,Rainfed,143.27,1.04,0.5,1.06
Wheat,West,Clay,Rabi,2024,29.28,107.68,65.36,6.1,7.47,233.37,77.95,292.04,4.57,2.73,Sprinkler,141.99,8.53,2.44,6.67
Tomato,South,Peat,Rabi,2019,28.66,141.86,53.98,10.67,7.24,234.06,70.58,148.55,3.44,3.64,Drip,198.18,0.41,26.18,95.19
Maize,Central,Peat,Kharif,2022,21.99,208.0,55.56,11.07,6.71,308.36,16.07,100.04,3.93,0.56,Drip,292.13,1.91,5.68,3.19
Potato,West,Peat,Kharif,2021,48.39,92.56,68.23,4.67,6.6,146.87,46.82,187.68,3.69,11.03,Sprinkler,167.04,2.33,6.48,71.49
Maize,South,Loamy,Zaid,2016,23.96,118.69,40.65,5.97,7.27,236.92,44.55,215.14,1.56,2.15,Flood,221.11,5.38,3.34,7.17
Sugarcane,East,Sandy,Zaid,2015,26.02,130.97,71.0,4.63,7.74,256.63,24.33,189.84,3.18,13.14,Sprinkler,235.54,3.02,48.08,631.64
Cotton,North,Sandy,Kharif,2016,26.18,39.27,43.11,9.69,7.67,153.14,56.77,119.73,1.67,2.46,Drip,180.1,8.04,0.5,1.23
Sugarcane,West,Silt,Zaid,2022,26.21,55.39,84.2,4.44,7.89,335.31,27.75,99.57,4.44,4.59,Flood,61.5,8.91,19.18,88.09
Potato,East,Peat,Kharif,2020,34.93,128.27,57.67,5.15,7.16,287.55,70.22,171.11,3.41,0.78,Rainfed,273.63,3.27,13.31,10.38
Sugarcane,East,Loamy,Rabi,2017,14.06,267.76,80.53,9.1,7.61,376.27,66.85,202.46,3.46,1.3,Sprinkler,167.54,3.01,45.28,58.71
Cotton,West,Clay,Kharif,2019,17.63,21.75,59.85,6.58,6.76,379.37,59.5,131.86,1.31,5.32,Rainfed,214.39,4.84,0.5,2.66
